"rules","support","confidence","lift","count"
"{´óËâÜÈ²Ë,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.588235294117647,4.90021008403361,10
"{±¬³´Öí¸Î,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.015005359056806,0.583333333333333,4.859375,14
"{¶ç½·ÓãÍ·,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.015005359056806,0.583333333333333,4.859375,14
"{ÃÀÃî¾øÂ×Ö®°×Á«»¨,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.526315789473684,4.3843984962406,10
"{Íã¶¹Êí×ÐÖí¹ÇÌÀ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0214362272240086,0.625,5.20647321428571,20
"{±ùÌÇºì¶¹Þ²Ã×Öà,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.5,4.16517857142857,12
"{½ª´Ð³´»¨Ð·,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.015005359056806,0.518518518518518,4.31944444444444,14
"{°×ºú½·ºúÂÜ²·ÑòÈâÌÀ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.705882352941177,5.88025210084034,12
"{ìÁ³´´ó°×²Ë,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0139335476956056,0.5,4.16517857142857,13
"{ÃÀÃî¾øÂ×Ö®°×Á«»¨,ÇåÕôº£Óã} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.5,4.16517857142857,10
"{ÇåÕôº£Óã,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0139335476956056,0.5,4.16517857142857,13
"{ìËÖíÊÖ,ÇåÕôº£Óã} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.5,4.16517857142857,12
"{Ïã¿¾Å£ÅÅ ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.588235294117647,4.90021008403361,10
"{ìËÖíÊÖ,Ïã¿¾Å£ÅÅ } => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.6,4.99821428571429,12
"{±¬³´Öí¸Î,¶ç½·ÓãÍ·} => {ÇÛ²Ë³´Ñü»¨}",0.0192926045016077,0.6,4.99821428571429,18
"{±¬³´Öí¸Î,ÃÀÃî¾øÂ×Ö®°×Á«»¨} => {ÇÛ²Ë³´Ñü»¨}",0.015005359056806,0.608695652173913,5.07065217391304,14
"{±¬³´Öí¸Î,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0321543408360129,0.75,6.24776785714286,30
"{±¬³´Öí¸Î,ÃÉ¹Å¿¾ÑòÍÈ } => {ÇÛ²Ë³´Ñü»¨}",0.0139335476956056,0.5,4.16517857142857,13
"{±¬³´Öí¸Î,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0332261521972133,0.659574468085106,5.49449088145897,31
"{±¬³´Öí¸Î,À±³´öÏÓã} => {ÇÛ²Ë³´Ñü»¨}",0.0235798499464094,0.578947368421053,4.82283834586466,22
"{±¬³´Öí¸Î,¹Èµ¾Ð¡×¯ } => {ÇÛ²Ë³´Ñü»¨}",0.0214362272240086,0.526315789473684,4.3843984962406,20
"{±¬³´Öí¸Î,Á¹°è²¤²Ë} => {ÇÛ²Ë³´Ñü»¨}",0.0321543408360129,0.535714285714286,4.46269132653061,30
"{¶ç½·ÓãÍ·,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0257234726688103,0.648648648648649,5.4034749034749,24
"{¶ç½·ÓãÍ·,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0289389067524116,0.613636363636364,5.11181006493506,27
"{ÃÀÃî¾øÂ×Ö®°×Á«»¨,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0192926045016077,0.529411764705882,4.41018907563025,18
"{ÃÀÃî¾øÂ×Ö®°×Á«»¨,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0182207931404073,0.515151515151515,4.2913961038961,17
"{×ÎÈ»ÑòÅÅ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0160771704180064,0.652173913043478,5.43284161490683,15
"{ÃÉ¹Å¿¾ÑòÍÈ ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0182207931404073,0.53125,4.42550223214286,17
"{ìËÖíÊÖ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0482315112540193,0.714285714285714,5.95025510204082,45
"{Ö¥Ê¿»â²¨Ê¿¶ÙÁúÏº,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0214362272240086,0.555555555555556,4.62797619047619,20
"{À±³´öÏÓã,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0364415862808146,0.618181818181818,5.14967532467532,34
"{¹Èµ¾Ð¡×¯ ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0321543408360129,0.5,4.16517857142857,30
"{Á¹°è²¤²Ë,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0439442658092176,0.650793650793651,5.42134353741497,41
"{À±³´öÏÓã,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0353697749196141,0.589285714285714,4.90896045918367,33
"{±¬³´Öí¸Î,Íã¶¹Êí×ÐÖí¹ÇÌÀ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,1,8.33035714285714,12
"{±¬³´Öí¸Î,ìËÖíÊÖ,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.015005359056806,0.736842105263158,6.13815789473684,14
"{±¬³´Öí¸Î,Á¹°è²¤²Ë,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.705882352941177,5.88025210084034,12
"{¶ç½·ÓãÍ·,Íã¶¹Êí×ÐÖí¹ÇÌÀ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.909090909090909,7.57305194805195,10
"{¶ç½·ÓãÍ·,ìËÖíÊÖ,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.0139335476956056,0.722222222222222,6.01636904761905,13
"{¶ç½·ÓãÍ·,À±³´öÏÓã,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.733333333333333,6.10892857142857,11
"{¶ç½·ÓãÍ·,Á¹°è²¤²Ë,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.015005359056806,0.7,5.83125,14
"{Á¹°è²¤²Ë,ÃÀÃî¾øÂ×Ö®°×Á«»¨,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.666666666666667,5.55357142857143,10
"{ìËÖíÊÖ,Íã¶¹Êí×ÐÖí¹ÇÌÀ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0192926045016077,0.75,6.24776785714286,18
"{À±³´öÏÓã,Íã¶¹Êí×ÐÖí¹ÇÌÀ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.785714285714286,6.5452806122449,11
"{Á¹°è²¤²Ë,Íã¶¹Êí×ÐÖí¹ÇÌÀ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0171489817792069,0.888888888888889,7.4047619047619,16
"{ìËÖíÊÖ,ÃÉ¹Å¿¾ÑòÍÈ ,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.526315789473684,4.3843984962406,10
"{À±³´öÏÓã,ÃÉ¹Å¿¾ÑòÍÈ ,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.526315789473684,4.3843984962406,10
"{ìËÖíÊÖ,Íã¶¹Êí×ÐÖí¹ÇÌÀ,ÏãËÖÁ½³Ô´óÏº} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.6875,5.72712053571429,11
"{À±³´öÏÓã,ìËÖíÊÖ,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.015005359056806,0.636363636363636,5.30113636363636,14
"{Á¹°è²¤²Ë,ìËÖíÊÖ,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.0203644158628081,0.633333333333333,5.27589285714286,19
"{À±³´öÏÓã,Á¹°è²¤²Ë,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.015005359056806,0.518518518518518,4.31944444444444,14
"{½ª´Ð³´»¨Ð·,ìËÖíÊÖ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.833333333333333,6.94196428571429,10
"{½ª´Ð³´»¨Ð·,À±³´öÏÓã,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.714285714285714,5.95025510204082,10
"{½ª´Ð³´»¨Ð·,Á¹°è²¤²Ë,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.714285714285714,5.95025510204082,10
"{½ª´Ð³´»¨Ð·,ìËÖíÊÖ,ÃÉ¹Å¿¾ÑòÍÈ } => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.588235294117647,4.90021008403361,10
"{½ª´Ð³´»¨Ð·,À±³´öÏÓã,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.588235294117647,4.90021008403361,10
"{½ª´Ð³´»¨Ð·,Á¹°è²¤²Ë,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.6,4.99821428571429,12
"{°×ºú½·ºúÂÜ²·ÑòÈâÌÀ,À±³´öÏÓã,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,1,8.33035714285714,11
"{°×ºú½·ºúÂÜ²·ÑòÈâÌÀ,Á¹°è²¤²Ë,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.833333333333333,6.94196428571429,10
"{ìËÖíÊÖ,ìÁ³´´ó°×²Ë,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0139335476956056,0.764705882352941,6.3702731092437,13
"{Á¹°è²¤²Ë,ìÁ³´´ó°×²Ë,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.769230769230769,6.40796703296703,10
"{Á¹°è²¤²Ë,ìËÖíÊÖ,ìÁ³´´ó°×²Ë} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.625,5.20647321428571,10
"{±¬³´Öí¸Î,ÇåÕôº£Óã,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.785714285714286,6.5452806122449,11
"{±¬³´Öí¸Î,ìËÖíÊÖ,ÇåÕôº£Óã} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.769230769230769,6.40796703296703,10
"{±¬³´Öí¸Î,¹Èµ¾Ð¡×¯ ,ÇåÕôº£Óã} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.666666666666667,5.55357142857143,10
"{ìËÖíÊÖ,ÇåÕôº£Óã,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.833333333333333,6.94196428571429,10
"{ÇåÕôº£Óã,Ö¥Ê¿»â²¨Ê¿¶ÙÁúÏº,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.666666666666667,5.55357142857143,10
"{¹Èµ¾Ð¡×¯ ,ÇåÕôº£Óã,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.647058823529412,5.39023109243698,11
"{ìËÖíÊÖ,ÇåÕôº£Óã,Ö¥Ê¿»â²¨Ê¿¶ÙÁúÏº} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.625,5.20647321428571,10
"{ìËÖíÊÖ,Ïã¿¾Å£ÅÅ ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,1,8.33035714285714,10
"{±¬³´Öí¸Î,¶ç½·ÓãÍ·,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0160771704180064,0.789473684210526,6.5765977443609,15
"{±¬³´Öí¸Î,¶ç½·ÓãÍ·,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0171489817792069,0.888888888888889,7.4047619047619,16
"{±¬³´Öí¸Î,¶ç½·ÓãÍ·,À±³´öÏÓã} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.705882352941177,5.88025210084034,12
"{±¬³´Öí¸Î,¶ç½·ÓãÍ·,Á¹°è²¤²Ë} => {ÇÛ²Ë³´Ñü»¨}",0.0160771704180064,0.681818181818182,5.67978896103896,15
"{±¬³´Öí¸Î,ÃÀÃî¾øÂ×Ö®°×Á«»¨,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0139335476956056,0.928571428571429,7.73533163265306,13
"{±¬³´Öí¸Î,ÃÀÃî¾øÂ×Ö®°×Á«»¨,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.769230769230769,6.40796703296703,10
"{±¬³´Öí¸Î,Á¹°è²¤²Ë,ÃÀÃî¾øÂ×Ö®°×Á«»¨} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.75,6.24776785714286,12
"{±¬³´Öí¸Î,×ÎÈ»ÑòÅÅ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.833333333333333,6.94196428571429,10
"{±¬³´Öí¸Î,ìËÖíÊÖ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0278670953912111,0.896551724137931,7.4685960591133,26
"{±¬³´Öí¸Î,Ö¥Ê¿»â²¨Ê¿¶ÙÁúÏº,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0139335476956056,0.928571428571429,7.73533163265306,13
"{±¬³´Öí¸Î,À±³´öÏÓã,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0182207931404073,0.772727272727273,6.43709415584416,17
"{±¬³´Öí¸Î,¹Èµ¾Ð¡×¯ ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0192926045016077,1,8.33035714285714,18
"{±¬³´Öí¸Î,Á¹°è²¤²Ë,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0235798499464094,0.814814814814815,6.78769841269841,22
"{±¬³´Öí¸Î,ìËÖíÊÖ,ÃÉ¹Å¿¾ÑòÍÈ } => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.846153846153846,7.04876373626374,11
"{±¬³´Öí¸Î,À±³´öÏÓã,ÃÉ¹Å¿¾ÑòÍÈ } => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.785714285714286,6.5452806122449,11
"{±¬³´Öí¸Î,Á¹°è²¤²Ë,ÃÉ¹Å¿¾ÑòÍÈ } => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.611111111111111,5.09077380952381,11
"{±¬³´Öí¸Î,ìËÖíÊÖ,ÏãËÖÁ½³Ô´óÏº} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.631578947368421,5.26127819548872,12
"{±¬³´Öí¸Î,ìËÖíÊÖ,Ö¥Ê¿»â²¨Ê¿¶ÙÁúÏº} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.631578947368421,5.26127819548872,12
"{±¬³´Öí¸Î,À±³´öÏÓã,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0192926045016077,0.9,7.49732142857143,18
"{±¬³´Öí¸Î,¹Èµ¾Ð¡×¯ ,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0171489817792069,0.842105263157895,7.01503759398496,16
"{±¬³´Öí¸Î,Á¹°è²¤²Ë,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0246516613076099,0.821428571428571,6.84279336734694,23
"{±¬³´Öí¸Î,Á¹°è²¤²Ë,ÏãËÖÁ½³Ô´óÏº} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.526315789473684,4.3843984962406,10
"{±¬³´Öí¸Î,¹Èµ¾Ð¡×¯ ,Ö¥Ê¿»â²¨Ê¿¶ÙÁúÏº} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.6875,5.72712053571429,11
"{±¬³´Öí¸Î,Á¹°è²¤²Ë,Ö¥Ê¿»â²¨Ê¿¶ÙÁúÏº} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.588235294117647,4.90021008403361,10
"{±¬³´Öí¸Î,¹Èµ¾Ð¡×¯ ,À±³´öÏÓã} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.857142857142857,7.14030612244898,12
"{±¬³´Öí¸Î,À±³´öÏÓã,Á¹°è²¤²Ë} => {ÇÛ²Ë³´Ñü»¨}",0.0182207931404073,0.68,5.66464285714286,17
"{±¬³´Öí¸Î,¹Èµ¾Ð¡×¯ ,Á¹°è²¤²Ë} => {ÇÛ²Ë³´Ñü»¨}",0.015005359056806,0.666666666666667,5.55357142857143,14
"{¶ç½·ÓãÍ·,ÃÀÃî¾øÂ×Ö®°×Á«»¨,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.909090909090909,7.57305194805195,10
"{¶ç½·ÓãÍ·,Á¹°è²¤²Ë,ÃÀÃî¾øÂ×Ö®°×Á«»¨} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.571428571428571,4.76020408163265,12
"{¶ç½·ÓãÍ·,ÃÉ¹Å¿¾ÑòÍÈ ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.666666666666667,5.55357142857143,10
"{¶ç½·ÓãÍ·,ìËÖíÊÖ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0214362272240086,0.952380952380952,7.93367346938776,20
"{¶ç½·ÓãÍ·,ÏãËÖÁ½³Ô´óÏº,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.714285714285714,5.95025510204082,10
"{¶ç½·ÓãÍ·,À±³´öÏÓã,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0171489817792069,0.695652173913043,5.79503105590062,16
"{¶ç½·ÓãÍ·,¹Èµ¾Ð¡×¯ ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.8,6.66428571428572,12
"{¶ç½·ÓãÍ·,Á¹°è²¤²Ë,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0214362272240086,0.769230769230769,6.40796703296703,20
"{¶ç½·ÓãÍ·,ìËÖíÊÖ,ÃÉ¹Å¿¾ÑòÍÈ } => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.55,4.58169642857143,11
"{¶ç½·ÓãÍ·,ìËÖíÊÖ,ÏãËÖÁ½³Ô´óÏº} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.785714285714286,6.5452806122449,11
"{¶ç½·ÓãÍ·,ìËÖíÊÖ,Ö¥Ê¿»â²¨Ê¿¶ÙÁúÏº} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.666666666666667,5.55357142857143,10
"{¶ç½·ÓãÍ·,À±³´öÏÓã,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0192926045016077,0.72,5.99785714285714,18
"{¶ç½·ÓãÍ·,¹Èµ¾Ð¡×¯ ,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.647058823529412,5.39023109243698,11
"{¶ç½·ÓãÍ·,Á¹°è²¤²Ë,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0203644158628081,0.655172413793103,5.45782019704433,19
"{¶ç½·ÓãÍ·,À±³´öÏÓã,ÏãËÖÁ½³Ô´óÏº} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.611111111111111,5.09077380952381,11
"{¶ç½·ÓãÍ·,Á¹°è²¤²Ë,ÏãËÖÁ½³Ô´óÏº} => {ÇÛ²Ë³´Ñü»¨}",0.0139335476956056,0.65,5.41473214285714,13
"{¶ç½·ÓãÍ·,À±³´öÏÓã,Á¹°è²¤²Ë} => {ÇÛ²Ë³´Ñü»¨}",0.0182207931404073,0.53125,4.42550223214286,17
"{ÃÀÃî¾øÂ×Ö®°×Á«»¨,ìËÖíÊÖ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.015005359056806,0.7,5.83125,14
"{ÃÀÃî¾øÂ×Ö®°×Á«»¨,Ö¥Ê¿»â²¨Ê¿¶ÙÁúÏº,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.611111111111111,5.09077380952381,11
"{À±³´öÏÓã,ÃÀÃî¾øÂ×Ö®°×Á«»¨,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.857142857142857,7.14030612244898,12
"{Á¹°è²¤²Ë,ÃÀÃî¾øÂ×Ö®°×Á«»¨,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0171489817792069,0.8,6.66428571428572,16
"{ÃÀÃî¾øÂ×Ö®°×Á«»¨,ìËÖíÊÖ,Ö¥Ê¿»â²¨Ê¿¶ÙÁúÏº} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.631578947368421,5.26127819548872,12
"{À±³´öÏÓã,ÃÀÃî¾øÂ×Ö®°×Á«»¨,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.833333333333333,6.94196428571429,10
"{Á¹°è²¤²Ë,ÃÀÃî¾øÂ×Ö®°×Á«»¨,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.015005359056806,0.636363636363636,5.30113636363636,14
"{Á¹°è²¤²Ë,ÃÀÃî¾øÂ×Ö®°×Á«»¨,Ö¥Ê¿»â²¨Ê¿¶ÙÁúÏº} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.55,4.58169642857143,11
"{À±³´öÏÓã,Á¹°è²¤²Ë,ÃÀÃî¾øÂ×Ö®°×Á«»¨} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.55,4.58169642857143,11
"{ìËÖíÊÖ,×ÎÈ»ÑòÅÅ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.833333333333333,6.94196428571429,10
"{À±³´öÏÓã,×ÎÈ»ÑòÅÅ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.6875,5.72712053571429,11
"{Á¹°è²¤²Ë,×ÎÈ»ÑòÅÅ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0139335476956056,0.722222222222222,6.01636904761905,13
"{ìËÖíÊÖ,ÃÉ¹Å¿¾ÑòÍÈ ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0171489817792069,0.8,6.66428571428572,16
"{À±³´öÏÓã,ÃÉ¹Å¿¾ÑòÍÈ ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0171489817792069,0.695652173913043,5.79503105590062,16
