"dishes_name","counts","sales_hot"
"白饭/小碗",560,1
"白饭/大碗",429,0.765
"凉拌菠菜",272,0.483
"谷稻小庄 ",243,0.431
"麻辣小龙虾",219,0.388
"五色糯米饭(七色)",195,0.345
"蛋挞",192,0.339
"芝士烩波士顿龙虾",190,0.336
"辣炒鱿鱼",189,0.334
"香酥两吃大虾",179,0.316
"焖猪手",174,0.307
"水煮鱼",162,0.285
"蒙古烤羊腿 ",158,0.278
"西瓜胡萝卜沙拉",136,0.239
"自制猪肉脯",136,0.239
"美妙绝伦之白莲花",135,0.237
" 北冰洋汽水 ",134,0.235
"孜然羊排",132,0.232
"剁椒鱼头",129,0.226
"香烤牛排 ",128,0.224
"爆炒猪肝",124,0.217
"意文柠檬汁 ",121,0.212
"凉拌蒜蓉西兰花",118,0.206
"清蒸海鱼",117,0.205
"芹菜炒腰花",112,0.196
"豌豆薯仔猪骨汤",112,0.196
"番茄炖牛腩 ",111,0.194
"炝炒大白菜",108,0.189
"姜葱炒花蟹",107,0.187
"油焖麻辣虾",106,0.185
"白胡椒胡萝卜羊肉汤",105,0.183
"冰糖红豆薏米粥",104,0.181
"蒜香辣花甲",102,0.178
"皮蛋瘦肉粥",101,0.176
"糖醋蕃茄溜青花",100,0.174
"香菇鹌鹑蛋",100,0.174
"爆炒双丝",98,0.171
"桂圆肉红豆八宝饭",95,0.165
"番茄有机花菜",94,0.163
"独家薄荷鲜虾牛肉卷 ",92,0.16
"山药养生粥",90,0.156
"青岛啤酒罐装",86,0.149
"香辣腐乳炒虾",86,0.149
"拌土豆丝",85,0.147
"大蒜苋菜",85,0.147
"农夫山泉NFC果汁100%橙汁",84,0.145
"番茄甘蓝",80,0.138
"清蒸蝶鱼",80,0.138
"小米南瓜粥",80,0.138
"培根紫菜卷",78,0.135
"金玉良缘",76,0.131
"清爽拌凉面",76,0.131
"酸辣藕丁",74,0.127
"白斩鸡",73,0.126
"倒立蒸梭子蟹",73,0.126
"凉拌萝卜丝",71,0.122
"香辣爆羊肝 ",70,0.12
"哈尔滨啤酒罐装",69,0.118
"蓝带啤酒罐装",69,0.118
"葱油凉拌藕片",67,0.115
"红酒炖羊肉",66,0.113
"培根花菜",66,0.113
"啤酒鸭",66,0.113
"番茄炖秋葵",64,0.11
"照烧鸡腿 ",64,0.11
"爆炒鸡翅",63,0.108
"干锅田鸡",63,0.108
"黄花菜炒木耳",62,0.106
"南瓜枸杞小饼干",62,0.106
"桂圆枸杞鸽子汤",61,0.104
"盘蟹蒸蛋",61,0.104
"肉丁茄子",61,0.104
"露露无糖杏仁露",60,0.102
"百里香奶油烤红酒牛肉",59,0.101
"黑米恋上葡萄",58,0.099
"清炒菊花菜",58,0.099
"芝麻烤紫菜",57,0.097
"木须豌豆",56,0.095
"紫薯面包卷",56,0.095
"避风塘炒蟹",55,0.093
"黄尾袋鼠西拉子红葡萄酒",53,0.09
"牛尾汤",53,0.09
"张裕葡萄酒张裕赤霞珠干红 ",53,0.09
"葱姜炒蟹",52,0.088
"五香酱驴肉 ",52,0.088
"香菇鸡肉粥",51,0.086
"一品香酥藕",51,0.086
"路易拉菲红酒干红",50,0.084
"蒜香包",50,0.084
"打卤面",49,0.083
"红酒土豆烧鸭腿 ",49,0.083
"辣炒田螺",49,0.083
"蒜蓉生蚝",48,0.081
"大理石奶油蛋糕",47,0.079
"南瓜芝士包",46,0.077
"葡萄奶酥(超酥香的饼干)",44,0.074
"泡椒凤爪 ",43,0.072
"番茄蛋汤",42,0.07
"党参黄芪炖牛尾 ",41,0.068
"法国波尔多AOC干红葡萄酒原",41,0.068
"青炒扁豆",41,0.068
"五彩藕苗",41,0.068
"纸杯蛋糕",41,0.068
"花蛤蒸蛋",40,0.066
"鱼香肉丝拌面",40,0.066
"53度茅台",39,0.065
"辣炒海带丝",39,0.065
"不加一滴油的酸奶蛋糕",38,0.063
"杭椒鸡珍",37,0.061
"百威啤酒罐装",36,0.059
"辣炒花蛤",36,0.059
"超人气广式肠粉",34,0.056
"老式面包",33,0.054
"核桃葡萄干土司",32,0.052
"小炒羊腰 ",32,0.052
"牛肉鸡蛋肠粉",30,0.048
"五彩豆",29,0.047
"重庆特色油烧兔",29,0.047
"海带结豆腐汤",28,0.045
"黄油曲奇饼干",28,0.045
"酸辣汤面",27,0.043
" 42度海之蓝",25,0.039
"38度剑南春 ",24,0.038
"爆炒鳝碌",23,0.036
"牛奶卷",23,0.036
"玉竹南北杏鸭腿汤",23,0.036
"52度泸州老窖 ",22,0.034
"广式虾仁肠粉",22,0.034
"三色凉拌手撕兔",22,0.034
"鲜美鳝鱼",22,0.034
"50度古井贡酒",21,0.032
"冬瓜炒苦瓜",20,0.031
"咖啡奶香面包",19,0.029
"快炒黄鳝",19,0.029
"特醇嘉士伯啤酒罐装",19,0.029
"土豆西红柿汤面",19,0.029
"凉拌海带豆芽紫菜",18,0.027
"芹黄鳝丝",18,0.027
"长城窖酿解百纳红酒干红葡萄酒",18,0.027
"宝宝版牛肉肠粉",17,0.025
"冰镇花螺",17,0.025
"鸡蛋、肉末肠粉",14,0.02
"三丝鳝鱼",10,0.013
"百里香奶油烤t酒牛肉",5,0.004
"铁板牛肉",3,0
